time,open,high,low,close,volume
2020-01-06 12:37:00,107.989,107.995,107.988,107.994,22
2020-01-06 12:38:00,107.995,108.001,107.994,107.999,33
2020-01-06 12:39:00,107.999,108.014,107.998,108.011,73
2020-01-06 12:40:00,108.011,108.012,108.007,108.008,60
2020-01-06 12:41:00,108.011,108.014,108.009,108.013,51
2020-01-06 12:42:00,108.013,108.018,108.011,108.018,60
2020-01-06 12:43:00,108.018,108.021,108.012,108.018,42
2020-01-06 12:44:00,108.017,108.021,108.012,108.012,48
2020-01-06 12:45:00,108.012,108.012,108.001,108.003,49
2020-01-06 12:46:00,108.002,108.002,107.990,107.995,65
2020-01-06 12:47:00,107.995,108.000,107.991,107.993,92
2020-01-06 12:48:00,107.994,107.996,107.991,107.992,44
2020-01-06 12:49:00,107.991,107.998,107.990,107.995,51
2020-01-06 12:50:00,107.995,108.005,107.994,108.002,58
2020-01-06 12:51:00,108.003,108.007,108.000,108.007,45
2020-01-06 12:52:00,108.006,108.009,108.006,108.008,31
2020-01-06 12:53:00,108.008,108.012,108.006,108.008,55
2020-01-06 12:54:00,108.007,108.008,108.006,108.008,33
2020-01-06 12:55:00,108.007,108.012,108.001,108.001,55
2020-01-06 12:56:00,108.002,108.005,107.991,107.993,56
2020-01-06 12:57:00,107.992,107.994,107.985,107.987,45
2020-01-06 12:58:00,107.988,107.994,107.986,107.993,47
2020-01-06 12:59:00,107.994,107.995,107.991,107.995,27
2020-01-06 13:00:00,107.995,108.000,107.995,107.999,73
2020-01-06 13:01:00,108.000,108.006,107.996,107.997,79
2020-01-06 13:02:00,107.996,108.003,107.996,108.001,38
2020-01-06 13:03:00,108.001,108.001,107.995,107.996,40
2020-01-06 13:04:00,107.996,107.996,107.990,107.991,39
2020-01-06 13:05:00,107.990,107.991,107.984,107.984,52
2020-01-06 13:06:00,107.985,108.002,107.984,108.001,68
2020-01-06 13:07:00,108.002,108.009,108.002,108.008,77
2020-01-06 13:08:00,108.008,108.013,108.007,108.012,58
2020-01-06 13:09:00,108.013,108.014,108.009,108.013,56
2020-01-06 13:10:00,108.014,108.014,108.006,108.013,66
2020-01-06 13:11:00,108.012,108.019,108.012,108.015,58
2020-01-06 13:12:00,108.015,108.016,108.014,108.014,25
2020-01-06 13:13:00,108.015,108.018,108.014,108.014,22
2020-01-06 13:14:00,108.015,108.017,107.999,108.002,76
2020-01-06 13:15:00,108.003,108.008,108.002,108.008,61
2020-01-06 13:16:00,108.008,108.014,108.008,108.013,27
2020-01-06 13:17:00,108.013,108.024,108.013,108.022,60
2020-01-06 13:18:00,108.021,108.025,108.021,108.024,51
2020-01-06 13:19:00,108.025,108.025,108.020,108.024,71
2020-01-06 13:20:00,108.025,108.025,108.007,108.011,76
2020-01-06 13:21:00,108.011,108.020,108.011,108.017,62
2020-01-06 13:22:00,108.018,108.026,108.018,108.025,89
2020-01-06 13:23:00,108.025,108.025,108.018,108.020,58
2020-01-06 13:24:00,108.020,108.026,108.019,108.025,48
2020-01-06 13:25:00,108.026,108.026,108.020,108.024,96
2020-01-06 13:26:00,108.023,108.036,108.023,108.031,90
2020-01-06 13:27:00,108.032,108.035,108.030,108.031,39
2020-01-06 13:28:00,108.032,108.034,108.030,108.033,40
2020-01-06 13:29:00,108.032,108.033,108.027,108.031,45
2020-01-06 13:30:00,108.032,108.055,108.031,108.050,74
2020-01-06 13:31:00,108.051,108.056,108.045,108.049,103
2020-01-06 13:32:00,108.051,108.073,108.050,108.071,92
2020-01-06 13:33:00,108.072,108.075,108.057,108.066,100
2020-01-06 13:34:00,108.068,108.069,108.053,108.053,72
2020-01-06 13:35:00,108.054,108.068,108.053,108.064,83
2020-01-06 13:36:00,108.064,108.071,108.062,108.066,88
2020-01-06 13:37:00,108.066,108.071,108.065,108.066,58
2020-01-06 13:38:00,108.066,108.066,108.060,108.061,41
2020-01-06 13:39:00,108.061,108.062,108.054,108.054,26
2020-01-06 13:40:00,108.057,108.072,108.057,108.062,87
2020-01-06 13:41:00,108.061,108.065,108.061,108.064,32
2020-01-06 13:42:00,108.064,108.070,108.061,108.067,31
2020-01-06 13:43:00,108.067,108.067,108.054,108.058,52
